Title,Author,Page Count,Genre,Entry Date
Permenant Record,Edward Snowden,fiction,352, 2021-02-06
Game of Thrones,George RR Martin,fiction,694,2021-02-06
A Clash of Kings,George RR Martin,fiction,761,2021-02-06
A Storm of Swords,George RR Martin,fiction,973,2021-02-06
A Feast for Crows,George RR Martin,fiction,753,2021-02-06
A Dance with Dragons,George RR Martin,fiction,1016,2021-02-06
A Bag of Bones,Stephen King,fiction,529,2021-02-06
The Institute,Stephen King,fiction,576,2021-02-06
Dune,Frank Herbert,fiction,412,2021-02-06
If it Bleeds,Stephen King,fiction,448,2021-02-06
The Narrow Road to the Deep North,Richard Flanagan,fiction,352,2021-02-06
The 7&1/2 deaths of Evelyn Hardcastle,Stuart Turton,fiction,480,2021-02-06
1984,George Orwell,fiction,328,2021-02-06
The Outsider,Stephen King,fiction,560,2021-02-06
Revival,Stephen King,fiction,405,2021-02-06
To Kill a Mockingbird,Harper Lee,fiction,399,2021-02-06
Dune Messiah,Frank Herbert,fiction,336,2021-02-06
The War On Normal People,Andrew Yang,nonfiction,246,2021-02-06
The Master Algorithm,Pedro Domingos,nonfiction,293,2021-02-06
Children Of Dune,Frank Herbert,fiction,605,2021-02-06
